"","entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"209737",209737,2.66082730010701,2.56506299232302,7.72118196604318,4.98189693766921e-06,0.000209731727548169,4.13265539576401,"Kif15"
"331474",331474,2.05201809061574,3.32549719471773,7.63592281108853,5.58071931389296e-06,0.000223846025296729,4.40946357346871,"Rtl5"
"18260",18260,3.42528619369253,3.34120392719894,7.61048663009035,5.77390769455404e-06,0.00022812709301183,3.26506809690565,"Ocln"
"100217456",100217456,2.55777150288563,0.196759216593208,7.50021211182162,6.69785094013995e-06,0.000247319710883112,3.48746281613264,"Snord53"
"320315",320315,2.41202173218922,-2.5872332534455,7.42486701636929,7.41907767007608e-06,0.000264675177196123,3.35740633443381,"A330048O09Rik"
"67451",67451,3.35848717272421,3.04988631514316,7.42266444219575,7.44136868717577e-06,0.000264872501648932,3.07895650453962,"Pkp2"
"12428",12428,2.15107294932383,3.38864695864916,7.35703785908446,8.1393951468855e-06,0.000279034709113619,4.00238274427196,"Ccna2"
"634731",634731,5.14384821944103,0.305321543117275,7.28266633436983,9.01570054487962e-06,0.000296841940440161,1.1141375214445,"Susd1"
"18973",18973,2.11390248800638,4.13357040434626,7.27147601919412,9.15602688993427e-06,0.000299589749417228,3.93177127036756,"Pole"
"70466",70466,2.37110547507967,2.9504069227652,7.2039226785428,1.00541067545125e-05,0.000316133726538635,3.71819474230309,"Ckap2l"
"27409",27409,2.79081133205644,-2.08822241640752,7.19684293176952,1.01535208704314e-05,0.000316133726538635,3.10338972372943,"Abcg5"
"100340",100340,3.19193783942427,2.9829456432704,7.16418334733211,1.06258751854139e-05,0.000322867023732255,3.65262600470209,"Smpdl3b"
"18826",18826,2.22418827247644,4.4807609780785,7.16306124343446,1.06425142999115e-05,0.000322867023732255,3.73860414787709,"Lcp1"
"12704",12704,2.59543973097944,0.851548417182104,7.11226929975499,1.14255099391643e-05,0.000337241560926023,2.95797837142258,"Cit"
"13386",13386,2.69051117901489,-1.1101637941555,7.08835110578574,1.18152638487328e-05,0.000342036167593751,3.28624137112159,"Dlk1"
"16551",16551,2.25956211517141,3.34660004046177,7.08826266580589,1.18167309950978e-05,0.000342036167593751,3.63105580856927,"Kif11"
"53624",53624,3.19803783210754,5.20846121469121,7.01548575903886,1.30923797986559e-05,0.000360257961017956,3.4458283245155,"Cldn7"
"68026",68026,4.57535482028304,2.54355820496325,6.99138502642049,1.35464997538285e-05,0.000365339389265368,2.69202051620649,"Pclaf"
"208628",208628,2.36213872927778,3.44441415047226,6.88395332809492,1.57845823773976e-05,0.00040138320728588,3.37417780630836,"Kntc1"
"217143",217143,2.33394987076593,0.581000773858305,6.82018554084097,1.72964504246043e-05,0.000424461339301936,3.31921110819479,"Gpr179"
"17476",17476,3.84942152137357,-0.461484439030104,6.81305415621022,1.74748631217886e-05,0.000426851216038249,2.41697562786466,"Mpeg1"
"228543",228543,3.4866052298288,3.13623261402726,6.7931951723041,1.79820828147109e-05,0.000436541992017958,2.22202489546051,"Rhov"
"319530",319530,4.10990590388737,3.06325515086169,6.78761033525959,1.81275283944716e-05,0.000436851786087661,2.19088905716515,"Zfp750"
"72119",72119,2.49007707073631,3.74810903328329,6.76590469375792,1.87047924162154e-05,0.000443859668687489,3.24390108804543,"Tpx2"
