"","entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"75991",75991,-0.947949746436454,6.09702055007905,-10.1592360235508,2.69704296039141e-07,4.09587577356674e-05,7.29306655551773,"Slain2"
"74754",74754,-1.51273745399925,5.44262486135216,-10.1324566279629,2.77622295234826e-07,4.09587577356674e-05,7.31277050617753,"Dhcr24"
"208715",208715,-1.46035103594276,6.63017084615718,-10.1256307770047,2.79680190519015e-07,4.09587577356674e-05,7.25576890772392,"Hmgcs1"
"13139",13139,-1.35314768824124,5.721627050588,-10.1239695796466,2.80183490855023e-07,4.09587577356674e-05,7.27724479088014,"Dgka"
"235036",235036,1.58308309937162,5.31501693741992,10.1238315150118,2.80225364645734e-07,4.09587577356674e-05,7.31432342322186,"Ppan"
"74035",74035,1.45656315669632,5.25302595768645,10.1216818630675,2.80878202429649e-07,4.09587577356674e-05,7.30870025567404,"Nol9"
"18003",18003,1.12634525606225,7.47767264313487,10.1163907003363,2.82492064868878e-07,4.09587577356674e-05,7.24726133250935,"Nedd9"
"66970",66970,-1.05338663317447,4.26623476076606,-10.0905559756485,2.90516164469983e-07,4.17392496662146e-05,7.2324885275184,"Ssbp2"
"353211",353211,-1.3567397813382,1.58029792727041,-10.0799824757912,2.93870474120352e-07,4.18408015585409e-05,7.28262577592134,"Prune2"
"12023",12023,-1.99125036960343,3.81637997757662,-10.0603859049408,3.00197659359996e-07,4.23600340046909e-05,7.12219590680884,"Barx2"
"223473",223473,-1.53939639032873,5.6193205394048,-10.0497603362245,3.03689357229234e-07,4.24735097491222e-05,7.18969171933166,"Nipal2"
"226245",226245,1.12949700080428,4.42718650438267,10.0093577101514,3.17369484336877e-07,4.39974327233334e-05,7.13229441269136,"Plekhs1"
"12373",12373,-1.83064111524682,1.33799745601875,-9.96668783233395,3.32538396126382e-07,4.56994505424465e-05,7.08329840408457,"Casq2"
"84004",84004,-1.13494920203348,6.04514049016951,-9.94176227011739,3.41757831430983e-07,4.64579552292742e-05,7.04981842061979,"Mcam"
"59028",59028,1.88810073404403,4.49866498669931,9.93597603502163,3.43937026184832e-07,4.64579552292742e-05,7.12239928974998,"Rcl1"
"26897",26897,2.12400413163055,5.66746156900829,9.92549334874793,3.47923052660111e-07,4.65981010528847e-05,7.11941239672789,"Acot1"
"27762",27762,-1.86158868390554,0.992124718750402,-9.9071413795252,3.55021214194815e-07,4.67909217774889e-05,7.09977417658793,"Vwa7"
"24088",24088,1.66691229627142,6.58143844126151,9.90211626928693,3.56991809530488e-07,4.67909217774889e-05,7.01062956792927,"Tlr2"
"382038",382038,1.16955054001459,5.15404269526545,9.89355771608239,3.60375111213451e-07,4.67909217774889e-05,7.05012847932245,"Urb2"
